booking_id,user_id,event_date,ticket_type,price
91,946,2023-06-02,Regular,74.59
92,422,2024-09-30,Regular,87.8
93,923,2023-08-25,Premium,116.91
94,738,2023-02-24,Regular,65.83
95,15,2024-03-11,Premium,69.47
96,736,2024-11-14,Premium,66.11
97,573,2023-04-19,Premium,79.77
98,122,2023-07-03,Regular,86.76
99,277,2024-01-03,Premium,96.87
100,558,2023-07-17,Regular,90.12
101,453,2024-01-06,Regular,65.05
102,390,2024-01-08,Premium,91.27
103,294,2024-05-11,Regular,76.83
104,574,2024-08-21,VIP,89.91
105,598,2023-07-20,Regular,91.05
106,446,2024-05-23,Premium,107.6
107,210,2023-11-18,Regular,67.91
108,590,2023-10-02,VIP,64.09
109,714,2023-07-30,Regular,83.94
110,302,2024-05-18,Regular,98.65
111,909,2023-04-28,Regular,76.16
112,223,2024-12-03,Regular,99.95
113,734,2024-07-07,Regular,88.8
114,3,2023-02-11,Regular,70.98
115,990,2023-11-11,Regular,86.27
116,518,2023-11-25,Regular,66.3
117,93,2023-01-17,Regular,79.77
118,520,2023-10-10,Premium,53.54
119,428,2023-09-15,Premium,73.64
120,493,2024-07-28,Premium,94.99
121,235,2024-07-27,Premium,90.34
122,620,2024-09-03,Regular,87.42
123,161,2023-01-19,Regular,80.75
124,721,2024-06-12,Regular,78.2
125,752,2024-02-27,Premium,49.66
126,331,2024-04-10,VIP,70.88
127,333,2024-01-08,Regular,78.65
128,50,2023-03-22,Regular,52.51
129,523,2024-07-04,Regular,39.96
130,863,2024-07-01,Regular,97.58
131,668,2024-02-28,Regular,76.02
132,492,2024-03-04,Regular,79.2
133,582,2024-01-23,VIP,86.11
134,681,2024-12-09,Regular,55.36
135,272,2024-10-31,VIP,66.93
136,580,2023-07-23,Premium,105.08
137,867,2023-07-15,Premium,65.23
138,252,2024-12-28,Premium,69.68
139,560,2023-10-12,Premium,61.61
140,696,2023-07-15,Premium,60.18
141,832,2023-11-03,Premium,97.11
142,699,2024-10-25,Regular,25.47
143,90,2023-01-14,VIP,65.86
144,446,2023-05-26,Premium,79.51
145,332,2023-02-26,Premium,108.94
146,139,2024-12-23,Premium,52.3
147,357,2023-07-29,Regular,48.89
148,601,2024-06-12,Regular,57.8
149,274,2023-12-10,Regular,89.03
150,19,2024-12-15,Regular,77.51
151,983,2024-09-02,Premium,46.15
152,311,2023-10-06,Regular,76.99
153,870,2023-07-28,Regular,106.03
154,886,2024-10-02,Regular,80.29
155,978,2023-12-01,Regular,78.29
156,154,2023-10-15,Premium,79.49
157,390,2023-09-09,Premium,83.29
158,260,2023-09-22,Regular,49.66
159,620,2023-09-28,Regular,70.36
160,883,2024-11-30,Regular,71.4
161,797,2024-02-23,Regular,65.33
162,571,2024-12-26,Regular,88.72
163,125,2023-07-30,VIP,62.32
164,354,2023-12-31,Regular,67.8
165,273,2023-03-17,Regular,49.8
166,619,2024-10-21,Regular,82.57
167,811,2023-11-17,Premium,93.84
168,245,2024-12-25,Premium,67.78
169,848,2024-03-08,Premium,91.15
170,450,2023-04-19,Regular,72.06
171,930,2024-10-02,Premium,24.45
172,247,2024-06-05,Regular,73.97
173,520,2023-02-16,Regular,71.49
174,141,2024-01-14,Regular,77.06
175,362,2023-04-06,Regular,80.06
176,8,2023-04-13,Premium,61.32
177,478,2023-05-26,VIP,104.43
178,352,2023-01-27,Regular,73.68
179,996,2024-06-13,Premium,71.01
180,495,2024-11-09,Premium,89.89
181,606,2023-03-23,VIP,75.37
182,833,2024-03-03,Regular,126.32
183,427,2024-08-06,Regular,70.8
184,39,2024-04-23,Regular,82.04
185,593,2023-06-11,Premium,60.02
186,187,2024-02-06,Regular,92.41
187,596,2024-05-22,Regular,81.17
188,600,2023-02-07,Regular,68.22
189,754,2024-05-25,Regular,57.55
190,854,2024-01-28,Premium,48.81
191,93,2024-12-13,Premium,83.37
192,86,2024-05-08,Premium,47.26
193,44,2023-07-19,Premium,101.17
194,137,2023-09-12,Regular,49.74
195,421,2023-06-28,Regular,71.43
196,74,2024-06-30,Regular,57.37
197,548,2024-08-16,Regular,75.65
198,613,2024-01-24,Regular,75.53
199,988,2024-02-02,Premium,83.9
200,512,2023-06-07,Regular,44.47
201,156,2023-01-04,Premium,59.73
202,938,2023-06-16,Regular,94.41
203,255,2024-04-12,Regular,88.17
204,171,2024-02-13,Regular,25.01
205,981,2024-02-16,Regular,82.54
206,728,2023-07-23,Regular,54.35
207,170,2023-07-13,Regular,63.16
208,764,2023-08-23,Regular,70.45
209,872,2024-12-18,Regular,106.15
210,322,2023-05-30,Regular,54.15
211,567,2023-06-08,Premium,46.92
212,456,2023-10-06,Premium,84.01
213,944,2024-02-08,Regular,74.44
214,603,2024-11-08,Premium,99.14
215,790,2023-11-07,Premium,67.94
216,613,2023-03-09,Premium,99.22
217,155,2024-04-07,Regular,75.33
218,889,2023-03-29,Regular,85.58
219,349,2023-08-05,Premium,107.48
220,451,2023-01-01,Regular,71.66
221,876,2023-05-15,VIP,95.89
222,653,2024-11-27,Premium,62.73
223,173,2023-12-17,Regular,79.55
224,10,2023-05-20,Regular,46.11
225,740,2024-09-09,Regular,64.91
226,265,2023-05-13,Regular,53.84
227,438,2024-09-11,Regular,99.42
228,760,2023-06-27,Regular,109.78
229,247,2023-12-24,Regular,67.91
230,667,2024-01-15,Regular,59.54
231,546,2024-10-19,VIP,48.72
232,499,2024-03-25,Regular,80.29
233,129,2024-08-08,VIP,62.95
234,672,2024-04-07,VIP,64.03
235,601,2023-04-18,Regular,107.59
236,605,2023-05-02,Premium,69.07
237,327,2023-01-17,Regular,86.73
238,753,2023-07-15,Premium,76.06
239,835,2023-11-23,Regular,47.9
240,980,2023-11-14,Regular,38.1
241,404,2024-04-23,Regular,84.75
242,629,2023-09-09,Regular,109.08
243,606,2024-05-17,Regular,81.3
244,675,2023-04-29,Regular,87.48
245,611,2024-11-04,Regular,56.91
246,625,2024-12-10,Regular,95.3
247,359,2024-05-12,Regular,95.05
248,603,2024-04-30,Regular,61.08
249,858,2023-02-14,Regular,85.91
250,718,2023-11-10,Regular,39.67
251,17,2023-06-28,Premium,89.48
252,274,2024-02-22,Regular,63.55
253,685,2024-07-09,Premium,50.46
254,116,2023-03-19,Regular,83.05
255,861,2023-11-22,Premium,39.57
256,980,2024-11-20,Regular,81.85
257,693,2023-12-23,Regular,52.35
258,91,2024-02-20,Regular,48.07
259,82,2024-05-29,Regular,76.2
260,324,2023-08-02,Regular,71.55
261,961,2023-03-15,Regular,104.14
262,114,2024-07-16,VIP,49.3
263,769,2024-08-01,Regular,102.5
264,58,2024-05-23,Regular,52.25
265,154,2023-11-28,Premium,93.39
266,877,2023-04-03,Regular,97.12
267,404,2024-11-18,Premium,81.43
268,628,2024-10-18,Regular,59.18
269,855,2024-06-02,Premium,44.54
270,266,2023-09-26,Regular,35.96
271,315,2024-01-11,Premium,112.05
272,715,2023-01-04,Premium,69.06
273,41,2023-05-18,Regular,52.91
274,105,2023-08-19,Regular,52.14
275,901,2024-08-22,Regular,78.36
276,890,2024-06-12,VIP,67.1
277,193,2023-02-21,Regular,36.61
278,401,2024-10-07,Regular,92.29
279,278,2024-12-23,Regular,81.7
280,354,2023-11-21,Regular,111.8
281,749,2024-12-31,Regular,97.82
282,937,2024-12-17,VIP,13.04
283,733,2024-12-23,Regular,103.34
284,580,2023-10-04,Premium,99.15
285,709,2024-06-19,Regular,60.27
286,256,2024-04-30,Regular,66.35
287,651,2024-05-30,Regular,83.23
288,824,2023-06-01,Regular,54.72
289,947,2024-04-27,VIP,70.15
290,661,2023-09-16,Premium,95.0
291,99,2023-11-20,Regular,85.35
292,588,2023-06-17,Regular,61.66
293,282,2024-11-18,Regular,95.46
294,883,2023-11-06,VIP,81.06
295,403,2024-04-23,Premium,80.37
296,109,2023-02-25,Premium,64.7
297,700,2024-09-11,Regular,74.87
298,199,2024-04-17,Regular,59.52
299,303,2023-10-23,Regular,36.19
300,327,2024-04-05,Regular,69.4
301,154,2023-11-20,Regular,72.56
302,552,2023-05-21,Regular,77.75
303,645,2024-10-28,Regular,99.24
304,405,2023-09-19,Premium,61.95
305,462,2024-02-24,Premium,67.64
306,132,2023-08-29,Regular,90.32
307,791,2023-12-21,Regular,59.95
308,874,2024-08-11,Regular,78.07
309,84,2023-06-29,Premium,66.83
310,399,2023-03-07,Premium,70.13
311,754,2023-12-14,Premium,90.16
312,628,2023-06-20,Premium,67.53
313,109,2024-04-18,Regular,90.81
314,221,2024-06-17,Regular,35.95
315,904,2024-01-02,Regular,46.41
316,553,2023-04-17,Regular,28.64
317,368,2024-03-14,Premium,51.68
318,147,2023-08-15,Regular,112.14
319,112,2024-03-19,Regular,74.65
320,615,2024-03-17,Regular,60.57
321,558,2024-01-31,VIP,90.66
322,924,2024-12-28,Regular,93.48
323,494,2024-08-03,Premium,50.58
324,505,2023-03-25,Regular,124.96
325,475,2024-09-06,Regular,80.53
326,836,2024-07-04,Regular,83.05
327,890,2023-01-13,Premium,84.94
328,271,2024-11-23,Regular,84.9
329,995,2024-05-07,Premium,62.57
330,421,2023-09-25,Regular,117.25
331,897,2024-06-08,Regular,69.3
332,707,2023-04-30,VIP,94.15
333,367,2023-12-19,Regular,65.5
334,280,2023-02-26,Regular,61.95
335,283,2023-02-09,Premium,113.04
336,40,2023-12-02,Regular,72.83
337,959,2024-10-01,Premium,74.32
338,189,2023-06-22,Regular,80.67
339,164,2024-06-30,Regular,127.04
340,994,2023-09-16,Regular,118.38
341,989,2024-05-31,Premium,100.68
342,536,2024-12-30,Regular,132.07
343,536,2024-06-06,Premium,56.11
344,4,2023-04-27,VIP,88.12
345,835,2023-07-03,Regular,76.52
346,290,2023-04-26,Regular,39.62
347,953,2023-06-11,Regular,84.26
348,433,2024-08-01,Regular,65.18
349,471,2024-12-12,Regular,105.67
350,181,2024-06-26,Premium,67.1
351,248,2024-08-09,VIP,65.96
352,628,2023-08-25,VIP,105.66
353,279,2023-03-07,Premium,73.69
354,877,2023-03-11,Premium,98.26
355,581,2024-03-22,Regular,83.49
356,863,2024-02-20,Premium,83.76
357,254,2024-06-15,Premium,70.12
358,181,2024-03-16,Regular,85.04
359,830,2024-04-08,VIP,72.37
360,681,2024-01-31,Regular,58.92
361,825,2024-12-11,Premium,72.91
362,509,2024-07-04,Premium,100.76
363,761,2024-10-18,VIP,85.72
364,700,2024-07-10,Regular,90.37
365,566,2024-01-30,Premium,75.03
366,326,2023-11-22,Regular,36.24
367,357,2023-04-01,Regular,50.57
368,825,2023-03-11,Premium,69.22
369,650,2023-06-15,Regular,52.3
370,680,2024-10-03,Premium,64.51
371,391,2023-08-02,Regular,63.79
372,615,2024-08-23,Regular,64.39
373,934,2023-12-01,Premium,103.74
374,85,2024-01-04,Regular,73.94
375,317,2024-08-06,Regular,93.69
376,212,2024-11-07,VIP,78.28
377,515,2023-02-18,Regular,103.31
378,384,2023-02-21,Premium,95.42
379,691,2023-10-16,Regular,63.17
380,342,2024-09-17,Regular,114.23
381,815,2023-08-27,Regular,65.91
382,964,2023-05-13,Regular,79.0
383,988,2023-06-15,Regular,82.54
384,844,2024-01-09,Regular,84.77
385,38,2024-01-08,Regular,90.92
386,511,2024-04-22,Regular,59.86
387,420,2024-04-23,Regular,89.25
388,751,2024-10-11,Regular,86.62
389,169,2024-08-13,Regular,75.01
390,965,2024-11-12,VIP,71.21
391,909,2024-09-26,Premium,58.84
392,343,2024-11-18,Premium,84.61
393,826,2023-10-27,Regular,61.79
394,306,2023-03-23,VIP,79.76
395,542,2023-03-28,Premium,72.97
396,702,2023-08-13,Premium,48.32
397,869,2023-01-16,Regular,56.33
398,537,2023-12-24,VIP,83.1
399,112,2023-06-12,Premium,64.51
400,411,2024-09-01,Premium,63.83
401,947,2024-10-29,Regular,59.72
402,206,2024-05-28,Regular,60.4
403,185,2023-12-16,Regular,107.85
404,382,2024-11-11,Regular,52.6
405,496,2024-04-08,Premium,104.46
406,379,2024-01-10,Regular,68.39
407,47,2023-04-02,Regular,61.92
408,886,2023-06-30,Regular,82.68
409,740,2023-10-28,Regular,76.06
410,551,2024-10-21,Regular,71.05
411,528,2023-07-08,Premium,79.4
412,504,2023-11-10,Regular,75.74
413,22,2024-05-07,Regular,70.69
414,213,2023-05-08,Regular,93.71
415,310,2024-06-02,Regular,46.06
416,661,2024-03-01,Regular,56.71
417,968,2024-07-12,Premium,59.24
418,753,2024-07-18,Premium,53.84
419,272,2023-07-06,Premium,76.72
420,571,2024-07-03,Premium,85.11
421,799,2024-03-28,Regular,35.75
422,938,2024-04-15,VIP,65.52
423,202,2024-07-18,Premium,68.57
424,32,2023-08-12,VIP,69.28
425,443,2023-06-03,Regular,49.3
426,162,2024-07-13,VIP,68.73
427,767,2023-12-17,Premium,56.78
428,254,2023-05-27,Premium,68.31
429,521,2024-07-29,Regular,40.61
430,977,2023-12-15,Premium,68.45
431,651,2023-07-01,VIP,60.62
432,480,2024-09-28,Premium,69.75
433,10,2023-06-28,Regular,81.02
434,726,2023-02-08,VIP,74.11
435,505,2023-01-03,Regular,90.87
436,785,2023-03-05,Regular,67.78
437,836,2023-01-29,Regular,87.38
438,560,2024-01-07,VIP,97.5
439,436,2024-06-06,Regular,80.48
440,111,2023-04-07,Regular,74.58
441,153,2024-03-17,Premium,83.29
442,635,2023-07-22,Premium,81.18
443,917,2024-02-15,Regular,95.02
444,869,2023-01-21,VIP,90.88
445,102,2024-07-04,VIP,91.12
446,753,2023-04-12,Regular,75.88
447,833,2023-02-15,Regular,81.82
448,191,2023-03-07,Regular,81.45
449,729,2024-08-25,Regular,50.85
450,563,2023-06-13,Regular,96.38
451,804,2023-04-21,VIP,41.61
452,81,2023-12-04,Premium,89.24
453,489,2023-05-03,Regular,80.34
454,895,2024-12-05,Regular,69.31
455,88,2024-03-22,Regular,82.82
456,194,2024-09-02,Regular,83.37
457,104,2023-10-18,Regular,48.84
458,783,2024-11-01,Premium,103.32
459,96,2024-02-16,VIP,76.44
460,423,2024-09-06,Regular,121.29
461,891,2023-10-08,Premium,90.8
462,198,2023-02-12,Regular,75.99
463,1,2024-04-30,Premium,61.2
464,407,2024-08-18,Regular,72.78
465,378,2024-12-03,Regular,78.0
466,167,2023-02-20,VIP,104.31
467,509,2023-07-29,Regular,99.53
468,638,2023-05-06,Premium,84.03
469,313,2024-05-06,Regular,110.38
470,593,2024-05-23,Regular,34.68
471,418,2024-08-03,Regular,84.26
472,763,2023-09-15,Regular,100.11
473,681,2023-07-07,Premium,85.95
474,477,2023-08-18,Regular,48.34
475,73,2023-07-08,Premium,102.79
476,141,2024-02-19,Premium,90.23
477,582,2023-01-10,Premium,81.86
478,262,2023-04-24,Regular,76.77
479,340,2023-03-17,VIP,114.87
480,308,2024-11-06,Regular,83.89
481,245,2024-05-16,Regular,70.16
482,515,2023-03-26,Regular,58.77
483,337,2023-02-18,Regular,90.15
484,575,2024-05-09,Regular,94.72
485,561,2024-11-19,Premium,76.13
486,76,2024-01-22,Regular,63.84
487,880,2024-01-24,Regular,101.6
488,175,2023-08-06,Premium,57.25
489,109,2024-12-01,Regular,114.39
490,183,2023-12-12,Regular,60.31
491,192,2023-08-18,Regular,49.43
492,65,2023-09-12,Premium,51.99
493,849,2023-08-24,Regular,52.81
494,963,2023-01-26,Regular,70.27
495,474,2024-08-06,Regular,65.64
496,783,2023-09-18,Premium,95.49
497,100,2023-09-28,Premium,92.64
498,544,2023-05-03,Premium,70.53
499,864,2024-10-17,Regular,137.07
500,128,2023-09-14,Regular,70.26
501,452,2024-10-17,Regular,72.93
502,914,2024-02-25,Regular,49.45
503,369,2023-09-16,Regular,73.39
504,851,2023-02-16,Regular,80.95
505,43,2024-06-08,Regular,51.32
506,884,2023-07-27,Premium,65.03
507,419,2023-11-07,Regular,81.54
508,488,2023-05-29,Premium,64.5
509,78,2024-03-13,Regular,60.32
510,826,2023-06-04,Regular,90.64
511,801,2024-11-08,Regular,49.36
512,270,2023-03-31,Regular,53.24
513,674,2024-11-28,Regular,78.55
514,701,2023-12-24,Regular,91.92
515,759,2023-06-23,VIP,81.11
516,900,2023-08-05,Premium,70.52
517,728,2024-03-31,Regular,68.89
518,315,2024-08-31,Premium,95.21
519,925,2024-09-20,Premium,92.18
520,851,2023-07-18,Premium,76.0
521,902,2024-04-30,Premium,69.45
522,889,2024-06-16,Regular,75.71
523,993,2023-07-19,Regular,60.46
524,945,2024-01-06,Regular,72.0
525,168,2024-03-23,Regular,65.21
526,339,2023-09-05,Regular,72.98
527,193,2023-09-21,Regular,65.93
528,453,2023-02-27,VIP,85.48
529,283,2023-10-29,VIP,91.37
530,336,2023-01-31,Premium,67.41
531,390,2024-05-12,Premium,58.76
532,1000,2023-09-06,VIP,89.23
533,525,2024-08-27,Regular,78.7
534,240,2023-09-28,Regular,67.67
535,832,2024-08-28,Regular,102.51
536,958,2024-10-27,Premium,63.7
537,483,2024-01-29,Regular,35.14
538,659,2024-05-16,Premium,60.84
539,716,2024-08-14,Regular,107.37
540,592,2023-03-25,Regular,68.65
541,891,2023-12-31,Premium,64.69
542,555,2024-07-02,Regular,75.53
543,458,2023-12-08,Regular,95.22
544,89,2024-02-11,Regular,73.34
545,660,2024-02-29,Regular,86.83
546,95,2023-04-03,Premium,71.21
547,452,2024-09-05,Regular,86.98
548,428,2024-02-16,Regular,78.61
549,151,2024-03-07,Regular,67.04
550,514,2024-11-08,Premium,80.16
551,376,2023-06-08,Regular,64.15
552,22,2023-01-14,Premium,47.44
553,883,2024-01-08,Premium,74.6
554,313,2023-08-13,Regular,49.21
555,997,2024-05-19,Premium,86.95
556,840,2023-03-14,Premium,74.25
557,519,2023-09-06,Regular,103.47
558,206,2024-05-25,Regular,68.4
559,952,2024-08-25,VIP,74.6
560,375,2023-08-04,Premium,45.61
561,451,2024-08-24,Regular,52.92
562,626,2024-06-24,Regular,41.43
563,784,2023-08-08,Premium,96.55
564,595,2024-12-27,Premium,65.81
565,179,2023-08-09,Premium,101.54
566,210,2024-01-24,Regular,21.39
567,500,2024-07-07,Premium,105.96
568,464,2024-10-08,Regular,73.64
569,840,2023-02-11,Regular,81.8
570,124,2024-11-06,Premium,53.74
571,993,2023-10-10,VIP,85.55
572,113,2023-02-27,Regular,67.52
573,12,2024-06-20,Regular,51.12
574,126,2023-03-14,Premium,50.85
575,565,2023-05-09,Regular,50.49
576,331,2024-08-21,Premium,82.6
577,901,2024-03-01,Premium,62.29
578,283,2024-10-26,Regular,42.2
579,140,2024-11-24,VIP,82.39
580,401,2023-05-05,Premium,31.55
581,902,2023-03-08,Premium,101.58
582,97,2023-01-06,Premium,114.73
583,517,2024-09-28,Premium,48.75
584,569,2023-11-10,Regular,96.05
585,924,2023-11-22,Regular,81.98
586,846,2024-07-18,Premium,65.0
587,69,2024-07-31,Regular,65.93
588,118,2024-05-20,Regular,88.09
589,888,2023-03-23,Premium,74.2
590,59,2024-08-21,Premium,23.12
591,33,2023-01-02,Regular,116.46
592,318,2023-07-23,Premium,83.66
593,50,2024-10-23,Premium,73.96
594,880,2024-02-08,Regular,60.63
595,489,2023-04-13,Premium,71.22
596,19,2024-06-19,Regular,100.38
597,726,2024-01-03,Regular,80.23
598,197,2023-07-31,Regular,82.51
599,891,2024-07-30,Regular,50.02
600,450,2023-07-28,Regular,68.01
601,990,2023-04-27,Premium,76.02
602,559,2024-09-19,Premium,88.93
603,679,2024-04-22,Regular,66.68
604,452,2023-04-15,Premium,93.56
605,289,2024-05-09,Regular,52.11
606,141,2023-02-15,Regular,76.39
607,84,2023-11-27,Premium,73.05
608,694,2023-08-04,Regular,44.69
609,391,2024-05-06,Regular,74.05
610,591,2024-03-24,Premium,63.35
611,215,2024-06-19,Regular,103.28
612,526,2024-05-25,Premium,66.79
613,215,2024-04-02,Regular,82.02
614,403,2024-06-30,Regular,50.38
615,128,2024-06-19,Regular,79.73
616,822,2024-06-23,Regular,66.7
617,477,2024-04-28,Regular,59.47
618,760,2023-01-16,Regular,131.68
619,404,2024-07-24,Premium,67.93
620,29,2023-08-31,VIP,70.76
621,792,2023-07-26,Regular,93.04
622,338,2023-09-28,Regular,59.63
623,831,2024-12-05,Regular,83.07
624,714,2024-12-30,VIP,85.21
625,361,2023-04-25,VIP,79.89
626,569,2024-08-02,Regular,120.93
627,392,2023-10-26,Premium,58.91
628,218,2024-04-27,Regular,105.75
629,574,2024-02-01,Regular,84.44
630,669,2024-01-29,Regular,93.19
631,202,2023-03-16,Regular,81.82
632,17,2024-04-26,Regular,112.57
633,322,2023-04-13,Regular,68.6
634,518,2023-10-24,Premium,84.94
635,570,2023-06-27,Regular,101.11
636,325,2023-08-03,Regular,63.82
637,412,2023-11-11,Regular,95.01
638,318,2023-02-08,Regular,74.63
639,681,2023-09-16,Regular,50.3
640,965,2024-12-16,Regular,45.97
641,82,2023-01-07,Regular,73.18
642,474,2023-02-18,Regular,94.82
643,468,2024-06-21,Regular,33.42
644,425,2023-06-10,Regular,79.01
645,945,2023-06-25,Premium,92.85
646,731,2024-08-13,Premium,49.44
647,689,2023-01-02,Regular,62.32
648,204,2024-03-30,Regular,86.45
649,583,2024-10-05,Regular,91.97
650,387,2023-10-03,Regular,107.08
651,778,2024-05-12,Regular,63.27
652,98,2024-09-20,Regular,58.69
653,345,2024-11-06,Regular,108.05
654,803,2023-01-28,VIP,59.9
655,208,2023-11-29,Regular,85.15
656,514,2023-01-01,Regular,118.66
657,636,2023-07-07,Regular,90.05
658,792,2023-02-25,VIP,90.67
659,586,2024-06-30,Premium,100.56
660,166,2023-04-22,Regular,85.5
661,22,2023-11-06,Premium,90.76
662,154,2023-02-05,Regular,68.15
663,939,2024-03-14,Premium,98.2
664,439,2024-12-29,Premium,83.27
665,295,2024-08-14,Regular,45.44
666,219,2024-08-17,Premium,79.86
667,669,2024-07-30,Regular,31.61
668,495,2023-11-21,Regular,89.28
669,230,2024-10-01,Regular,70.33
670,20,2023-11-03,Premium,113.11
671,987,2024-06-17,Regular,84.79
672,553,2024-12-28,Regular,93.48
673,950,2024-09-10,Premium,54.02
674,148,2023-04-19,Regular,88.69
675,108,2024-01-07,Regular,62.19
676,403,2023-12-23,Regular,96.81
677,596,2023-06-30,Regular,52.63
678,483,2023-12-22,Regular,77.2
679,367,2024-11-06,Regular,51.84
680,834,2023-03-09,VIP,77.52
681,414,2023-10-19,Premium,115.45
682,309,2024-11-22,Regular,89.43
683,802,2023-06-30,Regular,74.35
684,918,2024-04-10,Regular,25.76
685,835,2024-03-09,Premium,64.29
686,134,2024-04-08,Regular,84.49
687,719,2024-11-11,Regular,64.78
688,283,2024-06-17,Premium,103.54
689,778,2023-03-07,Regular,76.43
690,73,2023-01-21,Regular,96.57
691,481,2024-09-03,Premium,79.1
692,352,2024-01-19,Premium,69.48
693,560,2024-09-06,Regular,65.57
694,326,2024-07-12,Premium,54.76
695,745,2023-02-08,Regular,96.93
696,443,2023-10-12,Premium,66.44
697,100,2024-08-24,Regular,85.45
698,59,2024-08-19,Premium,64.49
699,508,2023-12-02,VIP,53.34
700,258,2023-07-07,VIP,86.1
701,413,2024-11-01,VIP,60.07
702,452,2023-08-31,Regular,66.99
703,65,2023-03-14,Regular,50.03
704,595,2024-04-23,Regular,65.14
705,154,2024-07-14,Premium,75.48
706,985,2023-04-11,Premium,69.25
707,266,2024-05-28,Regular,91.36
708,821,2023-06-25,VIP,77.91
709,79,2023-08-26,Premium,136.75
710,315,2023-02-28,VIP,83.49
711,662,2023-04-09,Premium,40.29
712,947,2024-05-09,Regular,70.74
713,560,2024-05-28,Regular,72.48
714,917,2023-10-24,Regular,62.73
715,891,2023-07-30,Regular,76.45
716,248,2023-05-03,Premium,62.13
717,790,2023-08-17,Premium,81.66
718,868,2024-08-16,Premium,36.83
719,610,2024-10-17,Premium,97.88
720,414,2024-01-23,Regular,43.43
721,25,2023-05-20,Regular,69.73
722,284,2024-06-24,Regular,60.35
723,449,2024-01-26,Regular,81.12
724,881,2023-09-27,Regular,71.34
725,301,2023-01-12,Regular,80.03
726,68,2024-01-24,Regular,97.22
727,7,2023-12-03,Regular,90.37
728,817,2024-05-20,Premium,75.73
729,137,2023-04-16,Regular,84.19
730,164,2023-02-01,Regular,114.2
731,83,2023-03-15,Regular,91.08
732,897,2023-06-20,VIP,69.13
733,650,2023-03-10,Regular,100.56
734,420,2023-12-28,Regular,82.83
